month,community_district,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,restaurant,business
11/1/16,QN04,15015,57551,12.43246676,98.3,2.66,6.89,27.05,27.85,863,795
11/1/16,QN05,41856,71798,5.872876375,97.3,31.04,2.5,30.91,9.87,807,1217
11/1/16,QN06,14646,59316,12.97364571,98.8,1.93,6.25,46.94,4.13,601,515
11/1/16,QN07,49724,109482,6.943023407,99.4,13.24,7.07,42.47,7.9,1056,1381
11/1/16,QN08,30521,63878,8.353599237,99,19.88,10.87,43.1,12.8,168,563
11/1/16,QN09,29726,49766,7.044310148,97.9,4.51,4.51,55.94,10.36,348,1031
11/1/16,QN10,37478,42176,4.640498841,100,19.73,2.6,55.79,5.11,218,830
11/1/16,QN11,39940,47723,8.682650752,100,19.93,4.95,54.85,10.78,448,518
11/1/16,QN12,60174,86108,6.32463246,96.6,6.13,7.05,59.01,2.94,154,1366
11/1/16,QN13,71203,65801,5.460406576,98.1,11.31,7.98,61.24,5.19,63,806
11/1/16,QN14,21576,48176,4.736435445,93.8,18.39,5.12,41.66,4.15,120,312
11/1/16,SI01,49963,75133,3.786582751,99.1,9.62,7.36,43.86,4.77,161,1177
11/1/16,SI02,41093,54433,4.140635761,100,21.05,10.92,27.85,2.17,100,848
11/1/16,SI03,53118,63552,3.42698642,100,17.96,4.6,40.9,1.3,92,835
12/1/16,MN01,1760,55988,79.28216106,100,4.35,31.68,0.17,0.63,3295,651
12/1/16,MN02,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,970
12/1/16,MN03,4708,94059,58.23680177,93.4,14.95,11.15,0.32,8.66,580,865
12/1/16,MN04,3923,100090,105.4023865,100,2.81,11.75,0.88,7.68,964,972
12/1/16,MN05,3190,95425,516.0668245,100,1.59,6.49,0.09,0.67,270,1957
12/1/16,MN06,3119,113073,200.0855857,97.3,3.29,16.3,1.78,4.6,2028,875
12/1/16,MN07,4779,136570,114.7340333,100,19.14,10.24,2.16,10.88,1143,837
12/1/16,MN08,6086,159585,178.8084465,98.4,2.42,13.79,5.67,9.17,965,1273
12/1/16,MN09,2634,48590,24.39158809,97.3,15.52,23.27,2.43,10.64,205,326
12/1/16,MN10,4849,63635,25.0963106,91.9,6.3,14.53,4.14,20.61,952,428
12/1/16,MN11,3314,60777,17.09021499,96.5,42.54,10.63,0.36,5.08,328,473
12/1/16,MN12,2921,76778,16.92662418,92.1,41.45,9.19,0.5,9.47,267,709
12/1/16,BX01,4386,41918,6.707589221,86,6.48,10.61,5.77,7.42,87,445
12/1/16,BX02,3283,21902,5.496919864,81.3,2.67,5.76,4.16,6.01,376,351
12/1/16,BX03,3713,36803,7.527634527,83.7,20.85,12.42,10.23,12.41,618,259
12/1/16,BX04,3387,57385,9.660092483,89.2,15.89,12.24,4.44,12.29,21,590
12/1/16,BX05,3505,53388,9.995915302,89.1,6.7,15.95,11.95,16.63,259,521
12/1/16,BX06,4575,35928,6.5366628,77.6,24.81,18.5,8.14,12.64,142,428
12/1/16,BX07,4149,54899,10.30762568,83,7.31,21.5,9.48,14.65,239,474
12/1/16,BX08,5542,46626,6.242401917,100,8.55,18.36,26.62,4.32,124,289
12/1/16,BX09,13742,67092,5.398121557,87.9,12.89,6.34,21.49,13.91,28,569
12/1/16,BX10,20518,52136,4.469869393,100,19.86,11.12,33.07,6.72,327,510
12/1/16,BX11,15417,54969,6.212755599,100,0.71,17.12,39.36,8.51,173,578
12/1/16,BX12,24965,57877,4.759780051,76.9,21.02,6.2,36.12,11.4,509,622
12/1/16,BK01,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,217,915
12/1/16,BK02,8792,92363,24.90996012,89.1,8.15,14.05,8.52,12.44,268,629
12/1/16,BK03,17291,75550,7.386303189,80.1,3.58,11.83,24.01,27.9,310,577
12/1/16,BK04,11669,45929,6.324433451,88.4,15.64,8.36,19.96,30,296,526
12/1/16,BK05,23842,80991,7.760995776,98.8,12.88,7.57,26.48,10.95,192,787
12/1/16,BK06,14401,60480,10.19918621,100,5.73,5.08,13.75,21.2,116,611
12/1/16,BK07,14707,46647,7.683347306,97.3,27.88,3.59,15.65,11.21,1393,779
12/1/16,BK08,8429,50436,8.658653656,83.5,5.29,9.95,18.84,31.79,4199,360
12/1/16,BK09,8839,42765,9.35865698,98.7,1.71,19.59,32.61,15.47,4118,299
12/1/16,BK10,24361,57029,6.870534058,98.9,22.85,14.79,36.09,9.88,2700,702
12/1/16,BK11,29624,74361,7.254458861,93.6,2.49,4.12,43.75,27.28,3827,1077
12/1/16,BK12,25105,66549,9.396410191,98.9,5.81,7.06,39.34,21.96,1870,949
12/1/16,BK13,8169,49603,8.753933296,100,25.05,7.49,13.61,7.44,1750,520
12/1/16,BK14,17127,65900,9.960138777,90,3.52,8.41,47.17,9.79,2433,691
12/1/16,BK15,30913,70473,7.826133684,99,3.81,8.83,51.53,8.31,420,851
12/1/16,BK16,8704,38764,8.540645047,61.7,5.28,9.11,22.29,20.62,628,355
12/1/16,BK17,25238,61225,8.589272738,100,7.51,6.86,42.64,18.29,431,646
12/1/16,BK18,45221,69278,12.14469027,95.5,22.46,4.64,45.25,5.38,1111,773
12/1/16,QN01,25111,97606,10.58201991,98,6.02,16.86,14.19,15.18,2577,1332
12/1/16,QN02,12363,80837,12.6565547,99.1,20.68,3.54,10.44,7.65,1191,761
12/1/16,QN03,19654,57898,17.82866676,100,1.93,6.63,43.21,18.58,1307,844
12/1/16,QN04,15015,57551,12.43246676,98.3,2.66,6.89,27.05,27.85,863,747
12/1/16,QN05,41856,71798,5.872876375,97.3,31.04,2.5,30.91,9.87,807,1139
12/1/16,QN06,14646,59316,12.97364571,98.8,1.93,6.25,46.94,4.13,601,491
12/1/16,QN07,49724,109482,6.943023407,99.4,13.24,7.07,42.47,7.9,1056,1339
12/1/16,QN08,30521,63878,8.353599237,99,19.88,10.87,43.1,12.8,168,530
12/1/16,QN09,29726,49766,7.044310148,97.9,4.51,4.51,55.94,10.36,348,968
12/1/16,QN10,37478,42176,4.640498841,100,19.73,2.6,55.79,5.11,218,784
12/1/16,QN11,39940,47723,8.682650752,100,19.93,4.95,54.85,10.78,448,502
12/1/16,QN12,60174,86108,6.32463246,96.6,6.13,7.05,59.01,2.94,154,1265
12/1/16,QN13,71203,65801,5.460406576,98.1,11.31,7.98,61.24,5.19,63,765
12/1/16,QN14,21576,48176,4.736435445,93.8,18.39,5.12,41.66,4.15,120,280
12/1/16,SI01,49963,75133,3.786582751,99.1,9.62,7.36,43.86,4.77,161,1117
12/1/16,SI02,41093,54433,4.140635761,100,21.05,10.92,27.85,2.17,100,823
12/1/16,SI03,53118,63552,3.42698642,100,17.96,4.6,40.9,1.3,92,823
1/1/17,MN01,1760,55988,79.28216106,100,4.35,31.68,0.17,0.63,3295,652
1/1/17,MN02,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,976
1/1/17,MN03,4708,94059,58.23680177,93.4,14.95,11.15,0.32,8.66,580,875
1/1/17,MN04,3923,100090,105.4023865,100,2.81,11.75,0.88,7.68,964,979
1/1/17,MN05,3190,95425,516.0668245,100,1.59,6.49,0.09,0.67,270,1955
1/1/17,MN06,3119,113073,200.0855857,97.3,3.29,16.3,1.78,4.6,2028,876
1/1/17,MN07,4779,136570,114.7340333,100,19.14,10.24,2.16,10.88,1143,844
1/1/17,MN08,6086,159585,178.8084465,98.4,2.42,13.79,5.67,9.17,965,1284
1/1/17,MN09,2634,48590,24.39158809,97.3,15.52,23.27,2.43,10.64,205,329
1/1/17,MN10,4849,63635,25.0963106,91.9,6.3,14.53,4.14,20.61,952,436
1/1/17,MN11,3314,60777,17.09021499,96.5,42.54,10.63,0.36,5.08,328,475
1/1/17,MN12,2921,76778,16.92662418,92.1,41.45,9.19,0.5,9.47,267,720
1/1/17,BX01,4386,41918,6.707589221,86,6.48,10.61,5.77,7.42,87,450
1/1/17,BX02,3283,21902,5.496919864,81.3,2.67,5.76,4.16,6.01,376,355
1/1/17,BX03,3713,36803,7.527634527,83.7,20.85,12.42,10.23,12.41,618,259
1/1/17,BX04,3387,57385,9.660092483,89.2,15.89,12.24,4.44,12.29,21,595
1/1/17,BX05,3505,53388,9.995915302,89.1,6.7,15.95,11.95,16.63,259,536
1/1/17,BX06,4575,35928,6.5366628,77.6,24.81,18.5,8.14,12.64,142,431
1/1/17,BX07,4149,54899,10.30762568,83,7.31,21.5,9.48,14.65,239,478
1/1/17,BX08,5542,46626,6.242401917,100,8.55,18.36,26.62,4.32,124,291
1/1/17,BX09,13742,67092,5.398121557,87.9,12.89,6.34,21.49,13.91,28,572
1/1/17,BX10,20518,52136,4.469869393,100,19.86,11.12,33.07,6.72,327,513
1/1/17,BX11,15417,54969,6.212755599,100,0.71,17.12,39.36,8.51,173,586
1/1/17,BX12,24965,57877,4.759780051,76.9,21.02,6.2,36.12,11.4,509,628
1/1/17,BK01,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,217,921
1/1/17,BK02,8792,92363,24.90996012,89.1,8.15,14.05,8.52,12.44,268,639
1/1/17,BK03,17291,75550,7.386303189,80.1,3.58,11.83,24.01,27.9,310,581
1/1/17,BK04,11669,45929,6.324433451,88.4,15.64,8.36,19.96,30,296,537
1/1/17,BK05,23842,80991,7.760995776,98.8,12.88,7.57,26.48,10.95,192,793
1/1/17,BK06,14401,60480,10.19918621,100,5.73,5.08,13.75,21.2,116,617
1/1/17,BK07,14707,46647,7.683347306,97.3,27.88,3.59,15.65,11.21,1393,782
1/1/17,BK08,8429,50436,8.658653656,83.5,5.29,9.95,18.84,31.79,4199,361
1/1/17,BK09,8839,42765,9.35865698,98.7,1.71,19.59,32.61,15.47,4118,302
1/1/17,BK10,24361,57029,6.870534058,98.9,22.85,14.79,36.09,9.88,2700,704
1/1/17,BK11,29624,74361,7.254458861,93.6,2.49,4.12,43.75,27.28,3827,1091
1/1/17,BK12,25105,66549,9.396410191,98.9,5.81,7.06,39.34,21.96,1870,956
1/1/17,BK13,8169,49603,8.753933296,100,25.05,7.49,13.61,7.44,1750,524
1/1/17,BK14,17127,65900,9.960138777,90,3.52,8.41,47.17,9.79,2433,699
1/1/17,BK15,30913,70473,7.826133684,99,3.81,8.83,51.53,8.31,420,859
1/1/17,BK16,8704,38764,8.540645047,61.7,5.28,9.11,22.29,20.62,628,358
1/1/17,BK17,25238,61225,8.589272738,100,7.51,6.86,42.64,18.29,431,655
1/1/17,BK18,45221,69278,12.14469027,95.5,22.46,4.64,45.25,5.38,1111,781
1/1/17,QN01,25111,97606,10.58201991,98,6.02,16.86,14.19,15.18,2577,1344
1/1/17,QN02,12363,80837,12.6565547,99.1,20.68,3.54,10.44,7.65,1191,767
1/1/17,QN03,19654,57898,17.82866676,100,1.93,6.63,43.21,18.58,1307,856
1/1/17,QN04,15015,57551,12.43246676,98.3,2.66,6.89,27.05,27.85,863,762
1/1/17,QN05,41856,71798,5.872876375,97.3,31.04,2.5,30.91,9.87,807,1143
1/1/17,QN06,14646,59316,12.97364571,98.8,1.93,6.25,46.94,4.13,601,498
1/1/17,QN07,49724,109482,6.943023407,99.4,13.24,7.07,42.47,7.9,1056,1350
1/1/17,QN08,30521,63878,8.353599237,99,19.88,10.87,43.1,12.8,168,534
1/1/17,QN09,29726,49766,7.044310148,97.9,4.51,4.51,55.94,10.36,348,974
1/1/17,QN10,37478,42176,4.640498841,100,19.73,2.6,55.79,5.11,218,791
1/1/17,QN11,39940,47723,8.682650752,100,19.93,4.95,54.85,10.78,448,505
1/1/17,QN12,60174,86108,6.32463246,96.6,6.13,7.05,59.01,2.94,154,1279
1/1/17,QN13,71203,65801,5.460406576,98.1,11.31,7.98,61.24,5.19,63,773
1/1/17,QN14,21576,48176,4.736435445,93.8,18.39,5.12,41.66,4.15,120,282
1/1/17,SI01,49963,75133,3.786582751,99.1,9.62,7.36,43.86,4.77,161,1128
1/1/17,SI02,41093,54433,4.140635761,100,21.05,10.92,27.85,2.17,100,833
1/1/17,SI03,53118,63552,3.42698642,100,17.96,4.6,40.9,1.3,92,828
2/1/17,MN01,1760,55988,79.28216106,100,4.35,31.68,0.17,0.63,3295,635
2/1/17,MN02,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,956
